央视频道,#genre#
CCTV12 (IPV6)(1920x1080),https://stream1.freetv.fun/afaa1838a014695afe1181b4e5177cced5f7cc0f9bf14374ff9a72f6a4891c41.m3u8
CCTV12 (IPV6)(1920x1080),https://stream1.freetv.fun/adedf2b0bb5bfcfb89268b1b8d259496a01889fc0e3bc5872d3efd10277bae5a.m3u8
CCTV12 (IPV6)(1920x1080),https://stream1.freetv.fun/c99788db623352c3037b4420e8be2def471002262ad20a2699a96248a6f3835b.m3u8
CCTV12 HD(1920x1080),https://stream1.freetv.fun/2da3172ca8932c9a3fc49a8fe1c9f08784f86001c65ac16221df63efaae81279.m3u8
CCTV12 社会与法(1280x720),https://stream1.freetv.fun/1dba08858511f21c305f033a005461c5202cdae2b415067aae2da7d14bf0246c.ctv
CCTV12 社会与法(1920x1080),https://stream1.freetv.fun/b04c1b6a05c9bf824735de7cfc3e77893254956935041281f326e615dbfbc235.m3u8
CCTV12(1920x1080),https://stream1.freetv.fun/9c75171c0b1f992c486bc1b162b95b4a0f8ac85ea78e69aba79e9cbc178bb3b7.m3u8
CCTV12(1920x1080),https://stream1.freetv.fun/66565113692b98105b75b345b628952615f093b087421c0e96dd749728f57029.m3u8
CCTV12(1920x1080),https://stream1.freetv.fun/2daff0ff9df1d103af4219df9832b75149b94b5e5a64cf0b5cb4ab990f6bb75f.m3u8
CCTV12(1920x1080),https://stream1.freetv.fun/e1ef7022b5e4e6a8bca5a7af54e6f579f87387ff2411e5ec09abb198850855f5.m3u8
CCTV12(1920x1080),https://stream1.freetv.fun/2c182ea6b6a926083462e1941c80eb129cef72e23c0a71cd211a7f72f05e92b9.m3u8
CCTV12(1920x1080),https://stream1.freetv.fun/962bda65d6e5849d9df6684780032b0d5bfd35702dfb7e2f023aaa4bf61fc4dc.m3u8
CCTV12(1920x1080),https://stream1.freetv.fun/08ac31d2066f7d792ef4f9ba5ff5cdcd43a5935df9d8071eb7f9cc2a13a94106.ctv
CCTV12(1920x1080),https://stream1.freetv.fun/deec909a06f75565210d63ad724363741ce01241dfd7a40852039e8296969b15.m3u8
CCTV12(1920x1080),https://stream1.freetv.fun/6803b916d2b832f60b9c54d9dde66e029b21a1e420f8d4f1811f07b1a68d4e57.m3u8
CCTV12(1920x1080),https://stream1.freetv.fun/a15674b7c3ecb72cebc1c483c289298d4be84837db1b093d6a244a0fe9838b36.m3u8
CCTV12(1920x1080),https://stream1.freetv.fun/ece752c1194b0484df7e4aab10e14014b329ded6bf6c2292c2edd2e5d81de2c4.m3u8
CCTV12(1920x1080),https://stream1.freetv.fun/939b03df2312389437d4e034bb78e964add1a905d3f022b81815137e632bfdd0.m3u8
CCTV12(1920x1080),https://stream1.freetv.fun/36511dc844f7c1ae3f20cc384ea1ff582b0d33772b5dbd8f1a274eacff3346bf.m3u8
CCTV14 (IPV6)(1920x1080),https://stream1.freetv.fun/7da35f6cc6956a8ca00786c365cd8fcb25236647c0e27fb7b5195a2d0a28aeeb.m3u8
CCTV14 (IPV6)(1920x1080),https://stream1.freetv.fun/a4887c50445e9533ef75aa348050cf5669ebc8a777eababdfde0f6106eb262ac.m3u8
CCTV14 (IPV6)(1920x1080),https://stream1.freetv.fun/c755c8b59abcef5aaecb004b0e51c1570726b42aabef06d7a8d81fb3a8a2f6ee.m3u8
CCTV14 HD(1920x1080),https://stream1.freetv.fun/90b0a4dd7417444f20f548041469c1581d6dd6b82bab9ecf70ce83fb3fbb7d42.m3u8
CCTV14 少儿(1920x1080),https://stream1.freetv.fun/f0ffbec2d986e3224a2ce60f25443a2f716c52cf161ed2fe8c274e96a4d13326.ctv
CCTV14 少儿(1920x1080),https://stream1.freetv.fun/63b25adb79696ec6661fccaddc77c890749dd394a2137634c734dfa1ce96bfcd.m3u8
CCTV14(1920x1080),https://stream1.freetv.fun/635d56f15737522b3dae975a0aeacb67962ae5de603161adb5e5fa38f0fb97f6.m3u8
CCTV14(1920x1080),https://stream1.freetv.fun/af6a7e15dc1b0c55bf08d2509fe2bfdb4359a3fb6fac19e79f347ef6989076df.m3u8
CCTV14(1920x1080),https://stream1.freetv.fun/a187c03b5d7f88094422b23e8fbc27421561454ba565413190ca0db8dbec9559.m3u8
CCTV14(1920x1080),https://stream1.freetv.fun/cd1c27e3ae2592d464d9ee5f570f64f7d802a2dd1e60f9cdf898ff297ea9d023.m3u8
CCTV14(1920x1080),https://stream1.freetv.fun/492e9e718a6f2315daa7a09ab266c54fa5bc561731fa01db830d51d09ec29b83.m3u8
CCTV14(1920x1080),https://stream1.freetv.fun/31dfe86b61977d0588c45a278ea30d23471505826fdae5acae3c0d3140e60cb4.m3u8
CCTV14(1920x1080),https://stream1.freetv.fun/0b7464742392550519ecefd7724ee1df30290c9c25fca124a077ca7d6bb14826.m3u8
CCTV14(1920x1080),https://stream1.freetv.fun/ac72f0c0993ccdaaa39d525c4b3d6bb5ac91082cffb05372bcbc05d9a74cb3b0.m3u8
CCTV14(1920x1080),https://stream1.freetv.fun/dfec5764bfe26f743b882bfb951eefcc572c0a3b6f10027cdbc6bd38ef31e1a9.m3u8
CCTV14(1920x1080),https://stream1.freetv.fun/2d5e2ccf0a90b0865da750e1f6e6acf2bd58a506dc2e8426a9cbfa4c85f8eaec.m3u8
CCTV14(1920x1080),https://stream1.freetv.fun/9b7afad3217e8da3ed13ce5694a74b35440809f1384fae98297ef80e930b6b83.ctv
CCTV14(1920x1080),https://stream1.freetv.fun/335922c5160785955c886e6b7729d5b46f3d1b3a83eedf47a6fc96acf187604f.m3u8
CCTV14(1920x1080),https://stream1.freetv.fun/b74e4c6f8f0b72a448ccb3f00e32835690809c9d61d8e688438ee348593ca245.m3u8
CCTV14(1920x1080),https://stream1.freetv.fun/e5eb039def3658be891daef11abfeb2d6065d4b29dd773cbdea40676b6cf8f71.m3u8
CCTV14(1920x1080),https://stream1.freetv.fun/acd7dadd25de2da9f038450dc150d0bf2164afc8a6dc3f94d3ea46391a48c52b.m3u8
CCTV14(1920x1080),https://stream1.freetv.fun/1d3b426c9fa06939dd399e831e8a2de95ab3698db955bd1ac9c5caa0ab8b26e5.m3u8
CCTV15 (IPV6)(1280x720),https://stream1.freetv.fun/0771ba0dba341945c7aaade235b773a152626369f40c7aef5cbee3ee3a419de9.m3u8
CCTV15 (IPV6)(1920x1080),https://stream1.freetv.fun/fc74a839f7cd4219548c5221556af609e30451310fe342a2deae9c9a7d8840bb.m3u8
CCTV15 HD(1920x1080),https://stream1.freetv.fun/ee88bae27e378953c12ff7ec2b1005c674437fbf1c66a411216095ed470eb1ea.ctv
CCTV15 HD(1920x1080),https://stream1.freetv.fun/a1e58f0c09b69c56e61b17c559c7676aeba0d7b13680c43d2094485c436d829f.m3u8
CCTV15 音乐(1280x720),https://stream1.freetv.fun/03a2baed1bee2526aa59dea935476aadacd4ee026fcfc114ad04607d2d7ad5dc.ctv
CCTV15 音乐(1280x720),https://stream1.freetv.fun/693fe77255cc43fc17f8e7083fd58113c50aee001c78d91f5e3d99e2f9621922.m3u8
CCTV15(1920x1080),https://stream1.freetv.fun/1ef1cb0b6af2501bbb94ecfc601204a88254f49149ab2ce960d186644d036b67.m3u8
CCTV15(1920x1080),https://stream1.freetv.fun/5360115c7bc833a9cc0f4711c17f31576530b911c8f6341e2c30dc34946ff3d5.m3u8
CCTV15(1920x1080),https://stream1.freetv.fun/850f732d7f3110466681b36b0a5a73ae60a149c441d9ea7b7bdba7479b6b1aa2.m3u8
CCTV15(1920x1080),https://stream1.freetv.fun/e6c58cd0ee740d6e07fce50747d73a7896453bcb317fb1046b06e6fb4c768d3f.m3u8
CCTV15(1920x1080),https://stream1.freetv.fun/6533f6f2d0445e8afe8a45448af3bbe55acb435ce461d8f32ea098fe7bb120d7.m3u8
CCTV15(1920x1080),https://stream1.freetv.fun/3a23d3bbd8151fc8ed79bed56ccc177e6ac4340cbde1711980725e1ffead57a8.m3u8
CCTV15(1920x1080),https://stream1.freetv.fun/d53b8f939b93a60d494c85b94291ca8b151443bd6d16fdb667a8caaf33382c05.m3u8
CCTV15(1920x1080),https://stream1.freetv.fun/b073033456c32571a66260da45336ed4c827471795a9647ca93f283715fc1db4.m3u8
CCTV15高清(1920x1080),https://stream1.freetv.fun/072b73eebc9b219bc169bb859b3d62f34d5fead29fbd547b997b600955dd3018.m3u8
CCTV16 (IPV6)(1920x1080),https://stream1.freetv.fun/be3522ba810ede746aea4f7e29b7ce2349371e9463634648b87649fd38a430ca.m3u8
CCTV16 (IPV6)(1920x1080),https://stream1.freetv.fun/c9e38d3e8e64fe7c034227a736171e046f060ebe09a950239b072b80436ec69c.m3u8
CCTV16 (IPV6)(1920x1080),https://stream1.freetv.fun/2070e29726e74ff228f5aa5f59fd24f7d8f694815980838fdcd750799812a1fb.m3u8
CCTV16 HD(1920x1080),https://stream1.freetv.fun/a894f2f4f5004f44b218b40fa4088227ae910852506df21f93c0f148a037c42f.m3u8
